
1,No Item
2,Black Glasses
3,Black Sludge
4,Chesto Berry
5,Custap Berry
6,Lum Berry
7,Sitrus Berry
8,Choice Band
9,Choice Scarf
10,Choice Specs
11,Damp Rock
12,Expert Belt
13,Focus Sash
14,Leftovers
15,Life Orb
16,Toxic Orb
17,Lustrous Orb
18,Griseous Orb
19,Light Ball
20,Light Clay
21,Silk Scarf
22,Soul Dew
23,Stick
24,Thick Club
25,Fist Plate
26,Sky Plate
27,Toxic Plate
28,Earth Plate
29,Stone Plate
30,Insect Plate
31,Spooky Plate
32,Iron Plate
33,Flame Plate
34,Splash Plate
35,Meadow Plate
36,Zap Plate
37,Mind Plate
38,Icicle Plate
39,Draco Plate
40,Dread Plate
